2010,Nema,,,Nema weighted,,,Mirex2010,,,Mirex2009,,,Triads,,Tetrads,,,TriadsInput,,,TetradsOnly,,,Root,,,Bass,,,ChromaPrecision,,,ChromaRecall,,,ChromaFmeasure,,,,,
NG1 ('12),76.03%,,NG1 ('12),73.94%,,PMP1 ('12),74.76,,DMW1 ('12),71.58,,NMSD1 ('12),70.50,PMP3 ('12),62.05,,NG1 ('12),74.38,,DMW1 ('12),0.00,,PMP3 ('12),75.25,,DMW1 ('12),77.07,,NMSD2 ('12),83.05,,PMP1 ('12),80.07,,PMP1 ('12),81.39,,,,,NMSD3 ('12)
PMP1 ('12),74.70%,,PMP1 ('12),73.42%,,PMP2 ('12),73.75,,NMSD1 ('12),71.12,,DMW1 ('12),70.42,NMSD4 ('12),61.84,,PMP3 ('12),73.87,,NG1 ('12),0.00,,NMSD1 ('12),72.80,,PMP1 ('12),75.57,,PMP2 ('12),82.99,,PMP2 ('12),79.66,,PMP2 ('12),80.96,,,,,NMSD4 ('12)
DMW1 ('12),73.68%,,PMP2 ('12),72.41%,,NG1 ('12),73.32,,NMSD4 ('12),70.23,,NMSD4 ('12),69.60,DMW1 ('12),60.67,,NMSD3 ('12),72.59,,PMP1 ('12),0.00,,NMSD4 ('12),71.81,,NG1 ('12),75.50,,PMP3 ('12),82.75,,PMP3 ('12),79.38,,PMP3 ('12),80.70,,,,,PMP1 ('12)
PMP2 ('12),73.67%,,DMW1 ('12),71.99%,,PMP3 ('12),72.77,,NMSD3 ('12),68.29,,NMSD3 ('12),67.63,NMSD3 ('12),59.54,,DMW1 ('12),72.12,,PMP2 ('12),0.00,,NMSD3 ('12),70.12,,PMP3 ('12),74.93,,NG1 ('12),82.49,,NG1 ('12),79.11,,NG1 ('12),80.44,,,,,PMP2 ('12)
PMP3 ('12),72.90%,,PMP3 ('12),71.59%,,DMW1 ('12),71.51,,NMSD2 ('12),65.64,,NMSD2 ('12),64.83,NMSD2 ('12),55.91,,NMSD2 ('12),69.45,,PMP3 ('12),0.00,,NMSD2 ('12),67.79,,PMP2 ('12),74.79,,DMW1 ('12),81.96,,DMW1 ('12),78.60,,DMW1 ('12),79.91,,,,,PMP3 ('12)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllYears,Nema,,,Nema weighted,,,Mirex2010,,,Mirex2009,,,Triads,,Tetrads,,,TriadsInput,,,TetradsOnly,,,Root,,,Bass,,,ChromaPrecision,,,ChromaRecall,,,ChromaFmeasure,,,,,
NMSD1 ('12),83.51%,,NMSD1 ('12),82.73%,,NMSD1 ('12),82.15,,KO1 ('11/'12),81.52,,KO1 ('11/'12),80.69,KO1 ('11/'12),73.88,,KO1 ('11/'12),82.13,,KO1 ('11/'12),52.65,,NM1 ('11),82.92,,NM1 ('11),82.42,,NM1 ('11),86.97,,NMSD1 ('12),87.09,,NMSD1 ('12),86.20,,,,,
KO1 ('11/'12),82.85%,,NMSD4 ('12),81.98%,,NMSD4 ('12),81.55,,NM1 ('11),80.95,,NM1 ('11),79.54,NM1 ('11),68.51,,NM1 ('11),81.34,,NMSD3 ('11),46.12,,KO1 ('11/'12),82.92,,KO1 ('11/'12),82.06,,KO1 ('11/'12),86.61,,NMSD4 ('12),86.45,,KO1 ('11/'12),86.09,,,,,
NMSD3 ('11),82.77%,,NMSD3 ('11),81.97%,,KO1 ('11/'12),81.40,,NMSD3 ('11),79.80,,NMSD3 ('11),79.01,NMSD3 ('11),68.36,,NMSD3 ('11),81.17,,MM1 ('10),36.32,,CB2 ('11),81.65,,NMSD1 ('12),81.93,,CB2 ('11),86.47,,NMSD3 ('11),86.30,,NMSD3 ('11),85.64,,,,,
