*Fold,Track,CCSS1,DMW1,KO1,NG1,NMSD1,NMSD2,NMSD3,NMSD4,PMP1,PMP2,PMP3
0,1170,0.0455,0.0289,0.0772,0.0479,0.1705,0.1615,0.1429,0.1635,0.0397,0.0374,0.0243
0,1171,0.7767,0.7818,0.8050,0.7884,0.7828,0.7972,0.7999,0.7876,0.7617,0.7679,0.7782
0,1174,0.6186,0.2932,0.4889,0.2452,0.4510,0.4379,0.4468,0.4832,0.4435,0.4658,0.3387
0,1177,0.9315,0.9413,0.9480,0.9585,0.9378,0.9409,0.9402,0.9378,0.9329,0.9204,0.9248
0,1178,0.5477,0.5563,0.6337,0.5909,0.6296,0.5821,0.5925,0.5797,0.5695,0.5518,0.5849
0,1180,0.7336,0.6122,0.7873,0.7492,0.8220,0.8079,0.8132,0.7410,0.6797,0.6797,0.7480
0,1181,0.7431,0.8119,0.8258,0.6744,0.7635,0.8245,0.8203,0.8767,0.8783,0.8783,0.8756
0,1182,0.4074,0.2623,0.4545,0.3584,0.4180,0.4517,0.4295,0.4277,0.4276,0.4427,0.3905
0,1183,0.6952,0.6093,0.6937,0.5640,0.7770,0.7939,0.7934,0.7945,0.6188,0.5712,0.6352
0,1186,0.6928,0.5352,0.7132,0.5225,0.7039,0.6661,0.6650,0.7445,0.7076,0.6797,0.7045
0,1188,0.6334,0.5428,0.6694,0.5791,0.6474,0.6857,0.6852,0.6707,0.6518,0.6555,0.6626
0,1190,0.7652,0.7962,0.7994,0.7191,0.8142,0.8275,0.8240,0.8194,0.7992,0.7790,0.7734
0,1192,0.4865,0.4313,0.5093,0.4133,0.6105,0.6967,0.5917,0.6315,0.5036,0.4969,0.4831
0,1193,0.7060,0.8251,0.7415,0.5979,0.7428,0.7803,0.8077,0.7653,0.6709,0.6787,0.6218
0,1194,0.8859,0.8295,0.9159,0.8073,0.8871,0.9273,0.9273,0.9220,0.8864,0.8823,0.8650
0,1197,0.7392,0.7206,0.7569,0.6162,0.7671,0.7693,0.7844,0.7653,0.7414,0.7318,0.7145
0,1200,0.5915,0.4834,0.5910,0.6630,0.5833,0.5792,0.5739,0.5709,0.4897,0.4879,0.5044
0,1201,0.5664,0.5615,0.6187,0.6096,0.6415,0.6386,0.6137,0.6332,0.5815,0.5742,0.5631
0,1203,0.7304,0.7896,0.7804,0.7664,0.7679,0.7542,0.7500,0.7391,0.7740,0.7823,0.7634
0,1204,0.4201,0.4392,0.4610,0.4200,0.5506,0.5709,0.5709,0.5490,0.4508,0.4423,0.4042
0,1208,0.6991,0.6537,0.6905,0.6717,0.6904,0.6593,0.6740,0.6389,0.6983,0.6856,0.6442
0,1210,0.7478,0.7193,0.7097,0.6727,0.7198,0.7421,0.7444,0.7294,0.7626,0.7624,0.7409
0,1211,0.8721,0.8418,0.9259,0.9179,0.9225,0.8868,0.8868,0.8935,0.8073,0.7789,0.7964
0,1212,0.8349,0.6597,0.8425,0.7806,0.8356,0.8367,0.8367,0.8367,0.8231,0.8210,0.8210
0,1213,0.8400,0.7410,0.8735,0.8212,0.8188,0.7911,0.7960,0.8168,0.7431,0.6967,0.7509
0,1217,0.5292,0.5385,0.5806,0.4749,0.5371,0.5867,0.5971,0.6517,0.5705,0.5537,0.5347
0,1218,0.8247,0.8269,0.8648,0.8576,0.8515,0.8532,0.8520,0.8280,0.8360,0.8234,0.8431
0,1220,0.3909,0.5614,0.7597,0.6920,0.7659,0.7157,0.7192,0.7578,0.5086,0.4692,0.6007
0,1221,0.8232,0.7365,0.8494,0.6662,0.8669,0.8504,0.8525,0.8454,0.7623,0.7630,0.7551
0,1222,0.3191,0.3171,0.3516,0.2914,0.3751,0.3739,0.3752,0.3737,0.3374,0.3348,0.2949
0,1223,0.3523,0.3940,0.0244,0.3841,0.7184,0.6919,0.7212,0.6495,0.0000,0.0000,0.0000
0,1226,0.5204,0.5234,0.4113,0.5294,0.6877,0.7617,0.7943,0.7777,0.5887,0.5839,0.5770
0,1227,0.4805,0.4726,0.5040,0.4125,0.5494,0.6986,0.7008,0.7275,0.4242,0.4121,0.3788
0,1228,0.7251,0.7323,0.8410,0.7553,0.7487,0.7944,0.8292,0.7982,0.6325,0.6527,0.7096
0,1229,0.3998,0.4589,0.5627,0.6437,0.5342,0.5194,0.5278,0.5563,0.5620,0.5645,0.5084
0,1232,0.6083,0.4398,0.5613,0.5814,0.7165,0.6581,0.6378,0.7373,0.6110,0.6174,0.5874
0,1234,0.7273,0.6880,0.7687,0.7068,0.7439,0.7865,0.7864,0.7852,0.7200,0.7189,0.7091
0,1235,0.8224,0.7704,0.8466,0.6355,0.8455,0.8511,0.8514,0.8511,0.8321,0.8321,0.8302
0,1237,0.8140,0.7630,0.7898,0.7569,0.8072,0.8306,0.8231,0.9008,0.6817,0.7236,0.7671
0,1239,0.9434,0.8899,0.9272,0.8823,0.9523,0.9492,0.9492,0.9583,0.8920,0.8815,0.8705
0,1240,0.7879,0.7768,0.8488,0.7912,0.8077,0.8205,0.8146,0.8125,0.7697,0.7549,0.7661
0,1242,0.5305,0.5386,0.5806,0.4749,0.5374,0.5870,0.5974,0.6519,0.5706,0.5539,0.5349
0,1244,0.8623,0.7841,0.8881,0.8105,0.8823,0.8627,0.8771,0.8818,0.7872,0.8010,0.7930
0,1245,0.8572,0.8261,0.9196,0.8347,0.8904,0.9079,0.8853,0.9009,0.8548,0.8505,0.8397
0,1246,0.7524,0.7368,0.7730,0.6486,0.7598,0.7446,0.7439,0.7479,0.7377,0.7374,0.7446
0,1247,0.5105,0.5739,0.5655,0.3925,0.5596,0.5783,0.6651,0.6405,0.4904,0.3453,0.2973
0,1248,0.8723,0.8936,0.8892,0.8509,0.9011,0.9042,0.8926,0.8882,0.8510,0.8438,0.8293
0,1249,0.7364,0.7462,0.8138,0.8288,0.7806,0.7754,0.7936,0.7982,0.7608,0.7661,0.7258
0,1250,0.5789,0.4980,0.5711,0.4282,0.5788,0.5935,0.5962,0.5715,0.5091,0.4887,0.5292
0,1253,0.7424,0.7741,0.7866,0.7475,0.7854,0.8073,0.8082,0.7801,0.7075,0.7020,0.7178
0,1256,0.5546,0.3525,0.4432,0.4905,0.5926,0.5451,0.5890,0.5990,0.4573,0.4676,0.4436
0,1257,0.7373,0.5215,0.7915,0.6835,0.6630,0.7402,0.7517,0.7361,0.7372,0.6630,0.7157
